0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:30:34 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:30:34 +0700] "GET /WebsiteBookStore/images/bg_1.jpg HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:30:34 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:30:34 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:30:34 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 8478
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /images/banner-login.jpg HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:13 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:15 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:15 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:15 +0700] "GET /WebsiteBookStore/js/popper.min.js.map HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:15 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css.map HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:15 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css.map HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:22 +0700] "GET /WebsiteBookStore/images/banner-login.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:41 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 8478
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:41 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:31:41 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
